time_sec,lap,driver,detection_point,gap_to_ahead,status
576.6863333,7,Oscar Piastri,DP1 (3510m),0.545,ELIGIBLE
579.0196667,6,Gasly,DP1 (3510m),1.998,DENIED
579.5196667,6,Bortoleto,DP1 (3510m),0.316,ELIGIBLE
584.0863333,6,Albon,DP2 (4550m),8.269,DENIED
586.5863333,6,Colapinto,DP1 (3510m),4.956,DENIED
586.8863333,7,Verstappen,DP1 (3510m),8.083,DENIED
593.4196667,7,Lando Norris,DP2 (4550m),0,DENIED
595.4196667,6,Hulkenberg,DP2 (4550m),7.916,DENIED
596.453,6,Hadjar,DP2 (4550m),0.635,ELIGIBLE
596.653,6,Alonso,DP2 (4550m),0.115,ELIGIBLE
597.153,6,Sainz,DP2 (4550m),0.317,ELIGIBLE
597.2863333,6,Bearman,DP2 (4550m),0.082,ELIGIBLE
598.2196667,6,Lawson,DP2 (4550m),0.791,ELIGIBLE
598.453,7,Oscar Piastri,DP2 (4550m),5.024,DENIED
599.4196667,6,Stroll,DP2 (4550m),0.8,ELIGIBLE
600.1863333,6,Ocon,DP2 (4550m),0.456,ELIGIBLE
600.7863333,6,Yuki,DP2 (4550m),0.486,ELIGIBLE
603.153,6,Gasly,DP2 (4550m),1.589,DENIED
604.1826667,6,Bortoleto,DP2 (4550m),0.782,ELIGIBLE
605.6493333,7,George Russell,DP1 (3510m),17.053,DENIED
605.8493333,7,Verstappen,DP2 (4550m),6.113,DENIED
609.0826667,6,Colapinto,DP2 (4550m),4.918,DENIED
620.316,7,Charles Leclerc,DP1 (3510m),17.121,DENIED
620.416,7,George Russell,DP2 (4550m),17.871,DENIED
636.879,7,Charles Leclerc,DP2 (4550m),18.197,DENIED
639.4456667,7,Lewis Hamilton,DP1 (3510m),19.584,DENIED
642.679,7,Antonelli,DP1 (3510m),2.704,DENIED
660.179,7,Lewis Hamilton,DP2 (4550m),20.34,DENIED
660.8456667,7,Antonelli,DP2 (4550m),0.59,ELIGIBLE
662.3743333,8,Lando Norris,DP1 (3510m),0,DENIED
664.1076667,7,Albon,DP1 (3510m),20.112,DENIED
665.241,8,Verstappen,DP1 (3510m),2.79,DENIED
666.4076667,8,Oscar Piastri,DP1 (3510m),1.312,DENIED
666.7743333,7,Sainz,DP1 (3510m),2.322,DENIED
670.8743333,7,Alonso,DP1 (3510m),3.482,DENIED
671.141,7,Hulkenberg,DP1 (3510m),0.214,ELIGIBLE
671.341,7,Hadjar,DP1 (3510m),0.14,ELIGIBLE
673.741,7,Bearman,DP1 (3510m),2.156,DENIED
674.6076667,7,Lawson,DP1 (3510m),0.726,ELIGIBLE
675.6743333,7,Ocon,DP1 (3510m),0.852,ELIGIBLE
676.3076667,7,Yuki,DP1 (3510m),0.559,ELIGIBLE
676.3743333,7,Stroll,DP1 (3510m),0.127,ELIGIBLE
679.5076667,7,Gasly,DP1 (3510m),2.729,DENIED
679.7076667,8,Lando Norris,DP2 (4550m),0,DENIED
680.441,7,Bortoleto,DP1 (3510m),0.77,ELIGIBLE
681.1076667,8,Verstappen,DP2 (4550m),1.253,DENIED
683.2743333,8,Oscar Piastri,DP2 (4550m),2.362,DENIED
684.0743333,7,Albon,DP2 (4550m),20.064,DENIED
686.141,7,Colapinto,DP1 (3510m),4.908,DENIED
686.741,7,Sainz,DP2 (4550m),2.276,DENIED
689.341,7,Alonso,DP2 (4550m),2.138,DENIED
689.541,8,George Russell,DP1 (3510m),23.685,DENIED
690.7373333,7,Hulkenberg,DP2 (4550m),1.307,DENIED
690.904,7,Hadjar,DP2 (4550m),0.166,ELIGIBLE
693.3706667,7,Bearman,DP2 (4550m),2.449,DENIED
694.1373333,7,Lawson,DP2 (4550m),0.784,ELIGIBLE
694.304,7,Ocon,DP2 (4550m),0.166,ELIGIBLE
695.4706667,7,Stroll,DP2 (4550m),1.142,DENIED
695.6373333,7,Yuki,DP2 (4550m),0.166,ELIGIBLE
698.3373333,7,Gasly,DP2 (4550m),2.71,DENIED
699.1373333,7,Bortoleto,DP2 (4550m),0.784,ELIGIBLE
704.104,7,Colapinto,DP2 (4550m),4.969,DENIED
706.9706667,8,George Russell,DP2 (4550m),23.795,DENIED
709.804,8,Charles Leclerc,DP1 (3510m),20.133,DENIED
727.104,8,Charles Leclerc,DP2 (4550m),20.133,DENIED
732.2706667,8,Lewis Hamilton,DP1 (3510m),22.487,DENIED
733.8373333,8,Antonelli,DP1 (3510m),1.568,DENIED
749.5706667,8,Lewis Hamilton,DP2 (4550m),22.487,DENIED
751.1706667,8,Antonelli,DP2 (4550m),1.568,DENIED
753.9706667,8,Albon,DP1 (3510m),20.135,DENIED
756.3373333,8,Sainz,DP1 (3510m),2.352,DENIED
758.4373333,8,Alonso,DP1 (3510m),2.092,DENIED
759.7373333,8,Hulkenberg,DP1 (3510m),1.307,DENIED
759.904,8,Hadjar,DP1 (3510m),0.166,ELIGIBLE
762.3373333,8,Bearman,DP1 (3510m),2.449,DENIED
763.1373333,8,Lawson,DP1 (3510m),0.784,ELIGIBLE
763.304,8,Ocon,DP1 (3510m),0.166,ELIGIBLE
764.4373333,8,Stroll,DP1 (3510m),1.142,DENIED
764.604,8,Yuki,DP1 (3510m),0.166,ELIGIBLE
767.304,8,Gasly,DP1 (3510m),2.71,DENIED
768.104,8,Bortoleto,DP1 (3510m),0.784,ELIGIBLE
771.304,8,Albon,DP2 (4550m),20.135,DENIED
773.0706667,8,Colapinto,DP1 (3510m),4.969,DENIED
773.6373333,8,Sainz,DP2 (4550m),2.352,DENIED
775.7373333,8,Alonso,DP2 (4550m),2.092,DENIED
777.0373333,8,Hulkenberg,DP2 (4550m),1.307,DENIED
777.204,8,Hadjar,DP2 (4550m),0.166,ELIGIBLE
779.6706667,8,Bearman,DP2 (4550m),2.449,DENIED
780.4373333,8,Lawson,DP2 (4550m),0.784,ELIGIBLE
780.604,8,Ocon,DP2 (4550m),0.166,ELIGIBLE
781.7373333,8,Stroll,DP2 (4550m),1.142,DENIED
781.904,8,Yuki,DP2 (4550m),0.166,ELIGIBLE
784.6373333,8,Gasly,DP2 (4550m),2.71,DENIED
785.404,8,Bortoleto,DP2 (4550m),0.784,ELIGIBLE
790.3706667,8,Colapinto,DP2 (4550m),4.969,DENIED
