time_sec,lap,driver,detection_point,gap_to_ahead,status
751.1706666666113,8,Antonelli,DP2 (4550m),1.568,DENIED
753.9706666666087,8,Albon,DP1 (3510m),20.135,DENIED
756.3373333332732,8,Sainz,DP1 (3510m),2.352,DENIED
758.4373333332713,8,Alonso,DP1 (3510m),2.092,DENIED
759.7373333332702,8,Hulkenberg,DP1 (3510m),1.307,DENIED
759.9039999999367,8,Hadjar,DP1 (3510m),0.166,ELIGIBLE
762.3373333332678,8,Bearman,DP1 (3510m),2.449,DENIED
763.1373333332671,8,Lawson,DP1 (3510m),0.784,ELIGIBLE
763.3039999999336,8,Ocon,DP1 (3510m),0.166,ELIGIBLE
764.4373333332659,8,Stroll,DP1 (3510m),1.142,DENIED
764.6039999999324,8,Yuki,DP1 (3510m),0.166,ELIGIBLE
767.3039999999299,8,Gasly,DP1 (3510m),2.71,DENIED
768.1039999999292,8,Bortoleto,DP1 (3510m),0.784,ELIGIBLE
771.3039999999263,8,Albon,DP2 (4550m),20.135,DENIED
773.0706666665914,8,Colapinto,DP1 (3510m),4.969,DENIED
773.6373333332575,8,Sainz,DP2 (4550m),2.352,DENIED
775.7373333332556,8,Alonso,DP2 (4550m),2.092,DENIED
777.0373333332544,8,Hulkenberg,DP2 (4550m),1.307,DENIED
777.2039999999209,8,Hadjar,DP2 (4550m),0.166,ELIGIBLE
779.6706666665854,8,Bearman,DP2 (4550m),2.449,DENIED
780.4373333332513,8,Lawson,DP2 (4550m),0.784,ELIGIBLE
780.6039999999178,8,Ocon,DP2 (4550m),0.166,ELIGIBLE
781.7373333332501,8,Stroll,DP2 (4550m),1.142,DENIED
781.9039999999167,8,Yuki,DP2 (4550m),0.166,ELIGIBLE
784.6373333332475,8,Gasly,DP2 (4550m),2.71,DENIED
785.4039999999135,8,Bortoleto,DP2 (4550m),0.784,ELIGIBLE
790.3706666665756,8,Colapinto,DP2 (4550m),4.969,DENIED
